--- Debugging Physical Page 2034 ---
Text: '                                                                                                                          ' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'ma vue... J’ai commencé à m’apercevoir que les mots devenaient flous et je pensais' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'que je devenais aveugle. Je suis allé passer un examen et le médecin a dit : «Non!' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'vous venez simplement de dépasser quarante ans, mon fils!» Bien, il a ajouté que si' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'je vivais jusqu’à un âge assez avancé, cette vue pourrait revenir et je pourrais à' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'nouveau avoir cette bonne vue de près. Il a dit: «Maintenant, pouvez-vous lire votre' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'Bible, si vous L’éloignez de vous?»' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'HEBREUX CHAPITRE 2, 3     JEFFERSONVILLE IN USA    Mer 28.08.57' | Colors: [255] | Sizes: [9.956937789916992]
Text: '  ' | Colors: [0] | Sizes: [11.996455192565918]
Text: '221. Je dis : «Oui.»' | Colors: [0, 0, 0] | Sizes: [11.996455192565918, 11.996455192565918, 11.996455192565918]
Text: 'HEBREUX CHAPITRE 2, 3     JEFFERSONVILLE IN USA    Mer 28.08.57' | Colors: [255] | Sizes: [9.956937789916992]
Text: '  ' | Colors: [0] | Sizes: [11.996455192565918]
Text: '222. Il dit : «Mais, après quelque temps, vos bras ne seront plus assez longs!»' | Colors: [0, 0, 0] | Sizes: [11.996455192565918, 11.996455192565918, 11.996455192565918]
Text: 'HEBREUX CHAPITRE 2, 3     JEFFERSONVILLE IN USA    Mer 28.08.57' | Colors: [255] | Sizes: [9.956937789916992]
Text: '  ' | Colors: [0] | Sizes: [11.996455192565918]
Text: '223. Et ainsi, je–j’espère maintenant que dans cette étude, que je... cette petite' | Colors: [0, 0, 0] | Sizes: [11.996455192565918, 11.996455192565918, 11.996455192565918]
Text: 'Bible Collins est imprimée en assez bons caractères. Je peux la déchiffrer assez' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'bien. Mais quand nous en arrivons aux points importants et profonds où nous' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'devons prendre le Nouveau et l’Ancien Testament et les relier, j’ai une petite (Bible)' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'Scofield. Et je suis habitué à la Bible Scofield avec ses notes. Maintenant, je ne lis' | Colors: [0] | Sizes: [11.996455192565918]
Text: 'pas les notes de Scofield, car je ne suis pas d’accord avec Scofield sur beaucoup' | Colors: [0] | Sizes: [11.996455192565918]
